Cintas Corp, , CTAS, Business Services
Inphi Corporation, , IPHI, Semiconductor - Broad Line
Integrated Silicon, , ISSI, Semiconductor - Broad Line
Intel Corp, , INTC, Semiconductor - Broad Line
Intel Corporation, , INTC, Semiconductor - Broad Line
International Rectifier, , IRF, Semiconductor - Broad Line
Intersil Corporation, , ISIL, Semiconductor - Broad Line
IXYS Corp, , IXYS, Semiconductor - Broad Line
Kopin Corp, , KOPN, Semiconductor - Broad Line
Kopin Corporation, , KOPN, Semiconductor - Broad Line
Linear Technology Corp, , LLTC, Semiconductor - Broad Line
Marvell Technology Group Ltd, , MRVL, Semiconductor - Broad Line
Maxim Integrated Products Inc, , MXIM, Semiconductor - Broad Line
Maxim Integrated Products, , MXIM, Semiconductor - Broad Line
Mellanox Technologies Ltd, , MLNX, Semiconductor - Broad Line
Mellanox Technologies, , MLNX, Semiconductor - Broad Line
Micrel Inc, , MC5, Semiconductor - Broad Line
Microchip Technology Inc, , MCHP, Semiconductor - Broad Line
Microsemi Corp, , MSCC, Semiconductor - Broad Line
Monolithic Power Systems Inc, , MPWR, Semiconductor - Broad Line
Morganite Crucible (India) Ltd, , 523160, Semiconductor - Broad Line
Moschip Semiconductor, , 532407, Semiconductor - Broad Line
MoSys Inc, , MOSY, Semiconductor - Broad Line
NeoPhotonics Corporation, , NPTN, Semiconductor - Broad Line
NVE Corp, , NVEC, Semiconductor - Broad Line
NVIDIA Corp, , NVDA, Semiconductor - Broad Line
NXP Semiconductors NV, , NXPI, Semiconductor - Broad Line
OmniVision Technologies Inc, , OVTI, Semiconductor - Broad Line
PacMOS Technologies, , 1010, Semiconductor - Broad Line
Parkervision Inc, , PRKR, Semiconductor - Broad Line
Pixelworks Inc, , PXLW, Semiconductor - Broad Line
PMC-Sierra Inc, , PMCS, Semiconductor - Broad Line
QPL International Holdings Ltd, , 0243, Semiconductor - Broad Line
Quicklogic Corp, , QUIK, Semiconductor - Broad Line
Rohm Co., , 6963, Semiconductor - Broad Line
Ruttonsha International, , 517035, Semiconductor - Broad Line
SatCon Technology Corporation, , SATCQ, Semiconductor - Broad Line
Semtech Corp, , SMTC, Semiconductor - Broad Line
Sigma Designs Inc, , SIGM, Semiconductor - Broad Line
Silicon Image Inc, , SIMG, Semiconductor - Broad Line
Silicon Image, , SIMG, Semiconductor - Broad Line
Silicon Motion Technology Corp, , SIMO, Semiconductor - Broad Line
Siliconware Precision, , SPIL, Semiconductor - Broad Line
Skyworks Solutions Inc, , SWKS, Semiconductor - Broad Line
Solargiga Energy, , 0757, Semiconductor - Broad Line
Solargiga Energy Holdings Ltd, , 0757, Semiconductor - Broad Line
Solomon Systech, , 2878, Semiconductor - Broad Line
Spel Semiconductor Ltd, , 517166, Semiconductor - Broad Line
Spire Corp., , SPIR, Semiconductor - Broad Line
STMicroelectronics NV, , STM, Semiconductor - Broad Line
Sunright Ltd, , S71, Semiconductor - Broad Line
Texas Instruments Inc, , COV, Semiconductor - Broad Line
Texas Instruments Inc., , COV, Semiconductor - Broad Line
Tower Semiconductor Ltd, , TSEM, Semiconductor - Broad Line
Triquint Semiconductor, , TQNT, Semiconductor - Broad Line
United Microelectronics Corp, , UMC, Semiconductor - Broad Line
Unitronics, , UNITB, Semiconductor - Broad Line
Vimicro International Corp, , VIMC, Semiconductor - Broad Line
Xilinx Inc, , XLNX, Semiconductor - Broad Line
Ask SA, , ASK, Semiconductor- Memory Chips
Integrated Silicon Solution In, , ISSI, Semiconductor- Memory Chips
Micron Technology Inc, , MU, Semiconductor- Memory Chips
Micron Technology, , MU, Semiconductor- Memory Chips
Netlist Inc, , NLST, Semiconductor- Memory Chips
Netlist Inc., , NLST, Semiconductor- Memory Chips
Rambus Inc, , RMBS, Semiconductor- Memory Chips
Rambus Inc., , RMBS, Semiconductor- Memory Chips
SemiLEDs Corporation, , LEDS, Semiconductor- Memory Chips
Spansion Inc, , CODE, Semiconductor- Memory Chips
Spansion Inc., , CODE, Semiconductor- Memory Chips
SunEdison Semiconductor Limite, , SEMI, Semiconductor- Memory Chips
Actions Semiconductor Co., , ACTS, Semiconductor - Specialized
Alliance Fiber Optic Products, , AFOP, Semiconductor - Specialized
Altera Corp., , ALTR, Semiconductor - Specialized
Arkados Group, , AKDS, Semiconductor - Specialized
Ascent Solar Technologies, , ASTI, Semiconductor - Specialized
Canadian Solar Inc., , CSIQ, Semiconductor - Specialized
CEVA Inc., , CEVA, Semiconductor - Specialized
Cirrus Logic Inc., , CRUS, Semiconductor - Specialized
DayStar Technologies Inc., , DSTI, Semiconductor - Specialized
Degaro Innovations Corp., , BWPC, Semiconductor - Specialized
Dionics Inc., , DION, Semiconductor - Specialized
Envision Solar International, , EVSI, Semiconductor - Specialized
First Solar, , FSLR, Semiconductor - Specialized
GT Advanced Technologies Inc., , GTAT, Semiconductor - Specialized
Hanwha SolarOne Co., , HSOL, Semiconductor - Specialized
Himax Technologies, , HIMX, Semiconductor - Specialized
IXYS Corp., , IXYS, Semiconductor - Specialized
JA Solar Holdings Co., , JASO, Semiconductor - Specialized
JinkoSolar Holding Co., , JKS, Semiconductor - Specialized
MagnaChip Semiconductor Corpor, , MX, Semiconductor - Specialized
Microchip Technology Inc., , MCHP, Semiconductor - Specialized
Monolithic Power Systems Inc., , MPWR, Semiconductor - Specialized
NVE Corp., , NVEC, Semiconductor - Specialized
NVIDIA Corporation, , NVDA, Semiconductor - Specialized
ReneSola Ltd., , SOL, Semiconductor - Specialized
Sigma Designs, , SIGM, Semiconductor - Specialized
Solar America Corp., , AES, Semiconductor - Specialized
Solar Energy Initiatives, , SNRY, Semiconductor - Specialized
Solar3D, , SLTD, Semiconductor - Specialized
SunPower Corporation, , SPWR, Semiconductor - Specialized
Sunvault Energy, , SVLT, Semiconductor - Specialized
Trina Solar Limited, , TSL, Semiconductor - Specialized
Ultra Clean Holdings Inc., , UCTT, Semiconductor - Specialized
Vimicro International Corp., , VIMC, Semiconductor - Specialized
Vivint Solar, , VSLR, Semiconductor - Specialized
Yingli Green Energy Holding Co, , YGE, Semiconductor - Specialized
Advanced Photonix Inc., , API, Semiconductor - Integrated Circuits
Amkor Technology, , AMKR, Semiconductor - Integrated Circuits
Anadigics, , ANAD, Semiconductor - Integrated Circuits
Applied Micro Circuits Corpora, , AMCC, Semiconductor - Integrated Circuits
Applied Optoelectronics, , AAOI, Semiconductor - Integrated Circuits
Audience, , ADNC, Semiconductor - Integrated Circuits
AXT Inc., , AXTI, Semiconductor - Integrated Circuits
Broadcom Corp., , BRCM, Semiconductor - Integrated Circuits
Cabot Microelectronics Corpora, , CCMP, Semiconductor - Integrated Circuits
China Sunergy Co. Ltd., , CSUN, Semiconductor - Integrated Circuits
DSP Group Inc., , DSPG, Semiconductor - Integrated Circuits
EMCORE Corporation, , EMKR, Semiconductor - Integrated Circuits
Exar Corp., , EXAR, Semiconductor - Integrated Circuits
EZchip Semiconductor Ltd., , EZCH, Semiconductor - Integrated Circuits
International Rectifier Corpor, , IRF, Semiconductor - Integrated Circuits
inTEST Corp., , INTT, Semiconductor - Integrated Circuits
InvenSense, , INVN, Semiconductor - Integrated Circuits
Marvell Technology Group Ltd., , MRVL, Semiconductor - Integrated Circuits
Metalink, , MTLK, Semiconductor - Integrated Circuits
Micrel Inc., , MC5, Semiconductor - Integrated Circuits
Micromem Technologies Inc., , MMTIF, Semiconductor - Integrated Circuits
Micropac Industries Inc., , MPAD, Semiconductor - Integrated Circuits
Microsemi Corporation, , MSCC, Semiconductor - Integrated Circuits
MoSys, , MOSY, Semiconductor - Integrated Circuits
MRV Communications, , MRVC, Semiconductor - Integrated Circuits
OmniVision Technologies, , OVTI, Semiconductor - Integrated Circuits
Parkervision Inc., , PRKR, Semiconductor - Integrated Circuits
Pixelworks, , PXLW, Semiconductor - Integrated Circuits
PMC-Sierra Inc., , PMCS, Semiconductor - Integrated Circuits
QLogic Corp., , QLGC, Semiconductor - Integrated Circuits
QuickLogic Corporation, , QUIK, Semiconductor - Integrated Circuits
Satcon Technology Corporation, , SATCQ, Semiconductor - Integrated Circuits
SCI Engineered Materials, , SCIA, Semiconductor - Integrated Circuits
Semtech Corporation, , SMTC, Semiconductor - Integrated Circuits
Sequans Communications S.A., , SQNS, Semiconductor - Integrated Circuits
Sevcon, , SEV, Semiconductor - Integrated Circuits
Skyworks Solutions Inc., , SWKS, Semiconductor - Integrated Circuits
Strasbaugh, , STRB, Semiconductor - Integrated Circuits
SunEdison, , SUNE, Semiconductor - Integrated Circuits
Superconductor Technologies In, , SCON, Semiconductor - Integrated Circuits
Tower Semiconductor Ltd., , TSEM, Semiconductor - Integrated Circuits
TranSwitch Corp., , TXCCQ, Semiconductor - Integrated Circuits
TriQuint Semiconductor, , TQNT, Semiconductor - Integrated Circuits
Xilinx Inc., , XLNX, Semiconductor - Integrated Circuits
Aehr Test Systems, , AEHR, Semiconductor Equipment & Materials
AEM Holdings Ltd, , A10, Semiconductor Equipment & Materials
Aetrium Inc., , ATRM, Semiconductor Equipment & Materials
Aixtron SE, , AIXG, Semiconductor Equipment & Materials
Alent PLC, , ALNT, Semiconductor Equipment & Materials
Ambarella, , AMBA, Semiconductor Equipment & Materials
Amtech Systems Inc, , ASYS, Semiconductor Equipment & Materials
Amtech Systems Inc., , ASYS, Semiconductor Equipment & Materials
ASM Pacific Technology Ltd, , 0522, Semiconductor Equipment & Materials
ASM Pacific Technology Ltd., , 0522, Semiconductor Equipment & Materials
Asti Holdings Ltd, , 575, Semiconductor Equipment & Materials
Axcelis Technologies Inc, , ACLS, Semiconductor Equipment & Materials
Axcelis Technologies Inc., , ACLS, Semiconductor Equipment & Materials
AXT Inc, , AXTI, Semiconductor Equipment & Materials
Brooks Automation Inc, , BRKS, Semiconductor Equipment & Materials
Brooks Automation, , BRKS, Semiconductor Equipment & Materials
BTU International Inc., , BTUI, Semiconductor Equipment & Materials
Camtek Ltd, , CAMT, Semiconductor Equipment & Materials
Camtek Ltd., , CAMT, Semiconductor Equipment & Materials
Cascade Microtech Inc., , CSCD, Semiconductor Equipment & Materials
CDW Holding Ltd, , D38, Semiconductor Equipment & Materials
ChipMOS TECHNOLOGIES (Bermuda), , IMOS, Semiconductor Equipment & Materials
CinTel Corp., , CNCN, Semiconductor Equipment & Materials
CML Microsystems PLC, , CML, Semiconductor Equipment & Materials
Cohu Inc, , COHU, Semiconductor Equipment & Materials
Cohu, , COHU, Semiconductor Equipment & Materials
Cree, , CREE, Semiconductor Equipment & Materials
Daqo New Energy Corp., , DQ, Semiconductor Equipment & Materials
Ekinops SA, , EKI, Semiconductor Equipment & Materials
Ellipsiz Ltd, , E13, Semiconductor Equipment & Materials
eMagin Corp, , EMAN, Semiconductor Equipment & Materials
eMagin Corp., , EMAN, Semiconductor Equipment & Materials
Emgee Cables & Communicat, , 530333, Semiconductor Equipment & Materials
Enphase Energy, , ENPH, Semiconductor Equipment & Materials
Entegris Inc, , ENTG, Semiconductor Equipment & Materials
Entegris, , ENTG, Semiconductor Equipment & Materials
Facilasol Group, , MLFAC, Semiconductor Equipment & Materials
Galada Power, , 504697, Semiconductor Equipment & Materials
GigOptix, , GIG, Semiconductor Equipment & Materials
Intermolecular, , IMI, Semiconductor Equipment & Materials
IPG Photonics Corporation, , IPGP, Semiconductor Equipment & Materials
KLA-Tencor Corp, , KLAC, Semiconductor Equipment & Materials
KLA-Tencor Corporation, , KLAC, Semiconductor Equipment & Materials
Kulicke & Soffa Industries Inc, , KLIC, Semiconductor Equipment & Materials
Kulicke and Soffa Industries, , KLIC, Semiconductor Equipment & Materials
Lam Research Corp, , LRCX, Semiconductor Equipment & Materials
Lam Research Corporation, , LRCX, Semiconductor Equipment & Materials
LightPath Technologies Inc, , LPTH, Semiconductor Equipment & Materials
LionHub Group Ltd, , LHB, Semiconductor Equipment & Materials
Manufacturing Integration, , SMTX, Semiconductor Equipment & Materials
Mattson Technology, , MTSN, Semiconductor Equipment & Materials
Mattson Technology Inc., , MTSN, Semiconductor Equipment & Materials
MaxLinear Inc, , MXL, Semiconductor Equipment & Materials
MaxLinear, , MXL, Semiconductor Equipment & Materials
Memscap, , MEMS, Semiconductor Equipment & Materials
Micro-Mechanics holdings, , 5DD, Semiconductor Equipment & Materials
Micronics Japan Co., , 6871, Semiconductor Equipment & Materials
Nanometrics Inc, , NNM, Semiconductor Equipment & Materials
Nanometrics Incorporated, , NANO, Semiconductor Equipment & Materials
Nova Measuring Instruments Ltd, , NVMI, Semiconductor Equipment & Materials
Oclaro, , OCLR, Semiconductor Equipment & Materials
Park Electrochemical Corp, , PKE, Semiconductor Equipment & Materials
Park Electrochemical Corp., , PKE, Semiconductor Equipment & Materials
Photronics Inc, , PLAB, Semiconductor Equipment & Materials
Photronics Inc., , PLAB, Semiconductor Equipment & Materials
Solitron Devices, , SODI, Semiconductor Equipment & Materials
Spectra7 Microsystems Inc, , SEV, Semiconductor Equipment & Materials
Suess MicroTec AG, , SMH, Semiconductor Equipment & Materials
Sumco Corp, , 3436, Semiconductor Equipment & Materials
SunEdison Inc, , SUNE, Semiconductor Equipment & Materials
Sunlink International, , 2336, Semiconductor Equipment & Materials
Synopsys Inc, , SNPS, Semiconductor Equipment & Materials
Synopsys Inc., , SNPS, Semiconductor Equipment & Materials
Teradyne Inc, , TER, Semiconductor Equipment & Materials
Teradyne Inc., , TER, Semiconductor Equipment & Materials
Tessera Technologies Inc, , TSRA, Semiconductor Equipment & Materials
Tessera Technologies Inc., , TSRA, Semiconductor Equipment & Materials
Trio-Tech International, , TRT, Semiconductor Equipment & Materials
Ultra Clean Holdings Inc, , UCTT, Semiconductor Equipment & Materials
Ultratech Inc, , UTEK, Semiconductor Equipment & Materials
Ultratech, , UTEK, Semiconductor Equipment & Materials
UMS Holdings Ltd, , 558, Semiconductor Equipment & Materials
United Microelectronics Corpor, , UMC, Semiconductor Equipment & Materials
Veeco Instruments Inc, , VECO, Semiconductor Equipment & Materials
Veeco Instruments Inc., , VECO, Semiconductor Equipment & Materials
Xcerra Corporation, , XCRA, Semiconductor Equipment & Materials
AT&S Austria Tech & System AG, , AT, Printed Circuit Boards
BCC Fuba India Ltd, , 517246, Printed Circuit Boards
Benchmark Electronics Inc, , BHE, Printed Circuit Boards
Benchmark Electronics Inc., , BHE, Printed Circuit Boards
CEI Contract Manufacturing Ltd, , C11, Printed Circuit Boards
Circuit Systems (India) Ltd, , 532913, Printed Circuit Boards
Cirtran Corp., , CIRC, Printed Circuit Boards
Cofidur, , ALCOF, Printed Circuit Boards
Connect Group NV, , CONN, Printed Circuit Boards
Eltek Ltd., , ELTK, Printed Circuit Boards
Eucon Holding Ltd, , E27, Printed Circuit Boards
Fine-Line Circuits Ltd, , 517264, Printed Circuit Boards
Flextronics International Ltd, , FLEX, Printed Circuit Boards
Flextronics International Ltd., , FLEX, Printed Circuit Boards
Huan Hsin Holdings Ltd, , H16, Printed Circuit Boards
IEC Electronics Corp., , IEC, Printed Circuit Boards
Jabil Circuit Inc, , JBL, Printed Circuit Boards
Jabil Circuit Inc., , JBL, Printed Circuit Boards
Jadason Enterprises Ltd, , J03, Printed Circuit Boards
Kce Electronics, , KCE, Printed Circuit Boards
Kimball International, , KBALB, Printed Circuit Boards
Linaks Microelectronics Ltd, , 517463, Printed Circuit Boards
Meiko Electronics Co., , 6787, Printed Circuit Boards
MFS Technology Ltd, , 5BM, Printed Circuit Boards
Multi-Fineline Electronix Inc, , MFLX, Printed Circuit Boards
Multi-Fineline Electronix, , MFLX, Printed Circuit Boards
Plexus Corp, , PLXS, Printed Circuit Boards
Plexus Corp., , PLXS, Printed Circuit Boards
PNE Industries Ltd, , P07, Printed Circuit Boards
SigmaTron International Inc., , SGMA, Printed Circuit Boards
Singapore Windsor Holdings Ltd, , Y45, Printed Circuit Boards
SMTC Corp, , SMTC, Printed Circuit Boards
SMTC Corporation, , SMTC, Printed Circuit Boards
TTM Technologies Inc, , TTMI, Printed Circuit Boards
TTM Technologies Inc., , TTMI, Printed Circuit Boards
Actia group, , ATI, Diversified Electronics
Acuity Brands Inc, , AYI, Diversified Electronics
Acuity Brands, , AYI, Diversified Electronics
ADV Integrated MFG Corp Ltd, , PH, Diversified Electronics
AKM Industrial Company Ltd., , 1639, Diversified Electronics
American Superconductor Corp, , AMSC, Diversified Electronics
Amphenol Corp, , APH, Diversified Electronics
Amphenol Corporation, , APH, Diversified Electronics
AU Optronics Corp, , AUO, Diversified Electronics
Aurum Pacific Group, , 8148, Diversified Electronics
Aviva Industries Ltd, , 512109, Diversified Electronics
Belden Inc, , BDC, Diversified Electronics
BLUE SOLUTIONS SA, , IBMB34, Diversified Electronics
Boer Power Holdings Ltd., , 1685, Diversified Electronics
Capxon International, , 0469, Diversified Electronics
Cembre, , CMB, Diversified Electronics
China BAK Battery, , CBAK, Diversified Electronics
China Dynamics (Holdings) Ltd, , 0476, Diversified Electronics
China Keli Electric Co Ltd, , ZKL, Diversified Electronics
China Super Power Saving, , MLCSP, Diversified Electronics
Cicor Technologies Ltd, , CIR, Diversified Electronics
Conolog Corp., , CNLG, Diversified Electronics
Continental Controls Ltd, , 531460, Diversified Electronics
Control4 Corporation, , CTRL, Diversified Electronics
Corning Inc, , GLW, Diversified Electronics
Corning Inc., , GLW, Diversified Electronics
CTS Corporation, , CTS, Diversified Electronics
Debflex, , MLDEX, Diversified Electronics
Dewey Electronics Corp., , DEWY, Diversified Electronics
Digigram, , DIG, Diversified Electronics
Digital Power Corp., , DHR, Diversified Electronics
Dolby Laboratories, , DLB, Diversified Electronics
e2v technologies PLC, , E2V, Diversified Electronics
Eguana Technologies Inc, , EGT, Diversified Electronics
Elpro International Ltd, , 504000, Diversified Electronics
Encore Wire Corp, , BSX, Diversified Electronics
Encore Wire Corp., , BSX, Diversified Electronics
Energy Mad Ltd, , MAD, Diversified Electronics
EnerSys, , ENS, Diversified Electronics
Europtronic Group Ltd, , E23, Diversified Electronics
Excelpoint Technology Ltd, , E17, Diversified Electronics
EYANG Holdings Group, , 0117, Diversified Electronics
Frencken Group Ltd, , E28, Diversified Electronics
Global Axcess Corp., , GAXCQ, Diversified Electronics
GP Batteries International Ltd, , G08, Diversified Electronics
GP Industries Ltd, , G20, Diversified Electronics
GreenCell, , GCLL, Diversified Electronics
GS Yuasa Corp, , 6674, Diversified Electronics
Gujarat Poly-AVX, , 517288, Diversified Electronics
Hammond Manufacturing Co Ltd, , HMM.A, Diversified Electronics
Hammond Power Solutions Inc, , HPS.A, Diversified Electronics
HellermannTyton Group PLC, , HTY, Diversified Electronics
Hoku Corporation, , HOKUQ, Diversified Electronics
Hon Hai Precision Ind Co Ltd, , 2317, Diversified Electronics
Huber+Suhner AG, , HUBN, Diversified Electronics
Hutchinson Technology, , HTCH, Diversified Electronics
Hutchinson Technology Inc., , WNDM, Diversified Electronics
IEH Corporation, , IEHC, Diversified Electronics
Innovative Card Technologies, , INVC, Diversified Electronics
Inrad Optics, , INRD, Diversified Electronics
Integral Technologies Inc., , ITKG, Diversified Electronics
Intevac Inc., , IVAC, Diversified Electronics
JCT Electronics Ltd, , ONNN, Diversified Electronics
Jian ePayment Systems Ltd., , 8165, Diversified Electronics
Jinpan International Limited, , JST, Diversified Electronics
Jinpan International Ltd, , JST, Diversified Electronics
Kaycee Industries Ltd, , 504084, Diversified Electronics
KEMET Corp., , KEM, Diversified Electronics
Kenford Group Holdings Ltd., , 0464, Diversified Electronics
Kingboard Laminates Hldgs, , 1888, Diversified Electronics
KLK Electrical Ltd, , 517170, Diversified Electronics
Lakshmi Electrical, , 504258, Diversified Electronics
Launch Tech Co., , LHTCF, Diversified Electronics
Legend Power Systems Inc, , GE, Diversified Electronics
Legrand SA, , LR, Diversified Electronics
Leoch International, , 0842, Diversified Electronics
Lime Energy Co, , LIME, Diversified Electronics
Lindeteves-Jacoberg Ltd, , L15, Diversified Electronics
Live Event Media, , LYV, Diversified Electronics
LSI Industries Inc, , LYTS, Diversified Electronics
Manhattan Scientifics, , MHTX, Diversified Electronics
Maxwell Technologies Inc, , MXWL, Diversified Electronics
Maxwell Technologies, , MXWL, Diversified Electronics
Mecelec SA, , MCLC, Diversified Electronics
Memtech International Ltd, , M26, Diversified Electronics
Methode Electronics Inc, , MEI, Diversified Electronics
Methode Electronics, , MEI, Diversified Electronics
Microvision Inc., , MVIS, Diversified Electronics
Microwave Filter Co. Inc., , MFCO, Diversified Electronics
Mikros Systems Corp., , MKRS, Diversified Electronics
Mitsumi Electric Co Ltd, , 6767, Diversified Electronics
Miyoshi Precision Ltd, , M03, Diversified Electronics
mPhase Technologies, , XDSL, Diversified Electronics
Murata Mfg Co Ltd, , 6981, Diversified Electronics
Nam Tai Property Inc., , NTP, Diversified Electronics
Nanjing Sample Technology, , 1708, Diversified Electronics
Neo-Neon Holdings Ltd, , 1868, Diversified Electronics
Neo-Neon Holdings Ltd., , 1868, Diversified Electronics
Neonode, , NEON, Diversified Electronics
Nesscap Energy Inc, , NCE, Diversified Electronics
New Japan Radio Co., , 6911, Diversified Electronics
Nexeya S.A., , ALNEX, Diversified Electronics
Ningbo WanHao Holdings, , 8249, Diversified Electronics
Nippon Electric Glass, , 5214, Diversified Electronics
North Asia Strategic, , 8080, Diversified Electronics
NOVADAY, , MLLED, Diversified Electronics
Novatech Industries, , MLNOV, Diversified Electronics
O2Micro International Ltd, , OIIM, Diversified Electronics
O2Micro International Ltd., , OIIM, Diversified Electronics
Oak Ridge Energy Technologies, , OKME, Diversified Electronics
Orbit International Corp., , ORBT, Diversified Electronics
Orbotech Ltd., , ORBK, Diversified Electronics
OSI Systems Inc, , OSIS, Diversified Electronics
Panasonic Energy India Co Ltd, , 504093, Diversified Electronics
Payton Planar Magnetics, , PAY, Diversified Electronics
Plug Power Inc, , PLUG, Diversified Electronics
Plug Power Inc., , PLUG, Diversified Electronics
Powerdyne International, , PWDY, Diversified Electronics
Proton Power Systems PLC, , PPS, Diversified Electronics
Pulse Electronics Corporation, , PULS, Diversified Electronics
Qualstar Corp, , QBAK, Diversified Electronics
Qualstar Corp., , QBAK, Diversified Electronics
Radiall, , RLL, Diversified Electronics
Ram Ratna Wires Ltd, , 522281, Diversified Electronics
RTS Power Corp Ltd, , TMO, Diversified Electronics
Sabaf, , SAB, Diversified Electronics
SAES Getters SPA, , SG, Diversified Electronics
Salzer Electronics Ltd, , 517059, Diversified Electronics
Sanmina Corp, , SANM, Diversified Electronics
Sanmina Corporation, , SANM, Diversified Electronics
Satellite Engineering Ltd, , GCOM, Diversified Electronics
Schaffner Holding AG, , SAHN, Diversified Electronics
Scud Group Ltd, , 1399, Diversified Electronics
SGN Telecoms Ltd, , 531812, Diversified Electronics
Shilchar Technologies Ltd, , 531201, Diversified Electronics
SL Industries Inc., , DHR, Diversified Electronics
Sparton Corp., , SPA, Diversified Electronics
Sun.King Power, , 0580, Diversified Electronics
Sunway Int'l Holdings, , 0058, Diversified Electronics
Sustainable Energy, , IHS, Diversified Electronics
TCP International Holdings Ltd, , TCPI, Diversified Electronics
TE Connectivity Ltd, , TEL, Diversified Electronics
TE Connectivity Ltd., , TEL, Diversified Electronics
Technofirst SA, , MLFST, Diversified Electronics
Thana Electric Supply Co Ltd, , 501756, Diversified Electronics
Tianneng Power Internatio, , 0819, Diversified Electronics
TPV Technology Ltd., , 0903, Diversified Electronics
TT electronics PLC, , TTG, Diversified Electronics
Uni-Pixel Inc., , UNXL, Diversified Electronics
Uni-Pixel, , UNXL, Diversified Electronics
Venture Corp Ltd, , ONNN, Diversified Electronics
Vicor Corp, , VICR, Diversified Electronics
Vicor Corp., , VICR, Diversified Electronics
Visionstate Corp, , VIS, Diversified Electronics
Von Roll Holding AG, , ROL, Diversified Electronics
Wellington Drive Technolo, , WDT, Diversified Electronics
Wells-Gardner Electronics Corp, , WGA, Diversified Electronics
AccelPath, , ACLP, Scientific & Technical Instruments
Affymetrix Inc., , AFFX, Scientific & Technical Instruments
Aishwarya Technologies, , 532975, Scientific & Technical Instruments
Alpha Mos, , ALM, Scientific & Technical Instruments
Applied Energetics, , AERG, Scientific & Technical Instruments
Arrayit Corporation, , ARYC, Scientific & Technical Instruments
Avon Corp Ltd, , 532995, Scientific & Technical Instruments
Badger Meter Inc, , BMI, Scientific & Technical Instruments
Badger Meter Inc., , BMI, Scientific & Technical Instruments
BioSolar, , BSRC, Scientific & Technical Instruments
Cepheid, , CPHD, Scientific & Technical Instruments
Clearsign Combustion Corp., , CLIR, Scientific & Technical Instruments
Cognex Corp, , CGNX, Scientific & Technical Instruments
Cognex Corporation, , CGNX, Scientific & Technical Instruments
Composite Technology Corporati, , DOW, Scientific & Technical Instruments
CyberOptics Corp, , CYBE, Scientific & Technical Instruments
CyberOptics Corp., , CYBE, Scientific & Technical Instruments
Digital Ally Inc., , DGLY, Scientific & Technical Instruments
Dynasil Corporation of America, , DYSL, Scientific & Technical Instruments
Electro-Sensors Inc., , ELSE, Scientific & Technical Instruments
Environnement SA, , VE, Scientific & Technical Instruments
ESCO Technologies Inc, , ESE, Scientific & Technical Instruments
ESCO Technologies Inc., , ESE, Scientific & Technical Instruments
FARO Technologies Inc., , FARO, Scientific & Technical Instruments
First Titan Corp., , FTTN, Scientific & Technical Instruments
FLIR Systems Inc, , FLIR, Scientific & Technical Instruments
FLIR Systems, , FLIR, Scientific & Technical Instruments
Garmin Ltd, , GRMN, Scientific & Technical Instruments
Garmin Ltd., , GRMN, Scientific & Technical Instruments
Geospace Technologies Corp, , GEOS, Scientific & Technical Instruments
Geospace Technologies Corporat, , GEOS, Scientific & Technical Instruments
Giga-tronics Inc., , GIGA, Scientific & Technical Instruments
Hurco Companies Inc., , HURC, Scientific & Technical Instruments
II-VI Incorporated, , IIVI, Scientific & Technical Instruments
Itron Inc, , ITRI, Scientific & Technical Instruments
Itron, , ITRI, Scientific & Technical Instruments
JA Energy, , SDY, Scientific & Technical Instruments
Jemtec Inc, , JTC, Scientific & Technical Instruments
Jeol Ltd, , 6951, Scientific & Technical Instruments
Judges Scientific PLC, , JDG, Scientific & Technical Instruments
Keyence Corp, , 6861, Scientific & Technical Instruments
Konecranes Oyj, , K34, Scientific & Technical Instruments
Landauer Inc., , LDR, Scientific & Technical Instruments
LRAD Corporation, , LRAD, Scientific & Technical Instruments
Luna Innovations Incorporated, , LUNA, Scientific & Technical Instruments
Mitcham Industries Inc., , MIND, Scientific & Technical Instruments
MKS Instruments Inc, , MKSI, Scientific & Technical Instruments
MKS Instruments, , MKSI, Scientific & Technical Instruments
Mobilarm Ltd, , MBO, Scientific & Technical Instruments
MOCON Inc., , MOCO, Scientific & Technical Instruments
ORBIT/FR Inc., , ORFR, Scientific & Technical Instruments
Orbotech Ltd, , ORBK, Scientific & Technical Instruments
Orolia SA, , ALORO, Scientific & Technical Instruments
Panasonic Industrial Devi, , 6860, Scientific & Technical Instruments
Perceptron, , PRCP, Scientific & Technical Instruments
POWRtec International Corp, , POWT, Scientific & Technical Instruments
Rofin-Sinar Technologies Inc, , RSTI, Scientific & Technical Instruments
Rofin-Sinar Technologies Inc., , RSTI, Scientific & Technical Instruments
Rudolph Technologies Inc, , RTEC, Scientific & Technical Instruments
Rudolph Technologies Inc., , RTEC, Scientific & Technical Instruments
Scantech Ltd, , SCD, Scientific & Technical Instruments
Schmitt Industries Inc, , SMIT, Scientific & Technical Instruments
Schmitt Industries, , SMIT, Scientific & Technical Instruments
Sensata Technologies Holding N, , ST, Scientific & Technical Instruments
Shimadzu Corporation, , 7701, Scientific & Technical Instruments
Solar Enertech Corp., , SOEN, Scientific & Technical Instruments
Sono-Tek Corp., , SOTK, Scientific & Technical Instruments
Spectris PLC, , SXS, Scientific & Technical Instruments
Stone India Ltd, , 522085, Scientific & Technical Instruments
Structural Monitoring, , MDT, Scientific & Technical Instruments
